id_caso,anio,mes,dia,codigo_dane_de_municipio,municipio,departamento,region,modalidad,presunto_responsable,descripcion_presunto_responsable,abandono_o_despojo_forzado_de_tierras,amenaza_o_intimidacion,ataque_contra_mision_medica,confinamiento_o_restriccion_a_la_movilidad,desplazamiento_forzado,extorsion,lesionados_civiles,pillaje,tortura,total_victimas_caso,forma_vinculacion,tipo_vinculacion,latitud_longitud,anio_valido,mes_valido,dia_valido,decada,latitud,longitud,alto_impacto,total_hechos
315.913,2.003,3,17,05197,COCORNA,ANTIOQUIA,ORIENTE ANTIOQUEÑO,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.16015403 6.005593074),2003,3,17,2000-2009,6.005593074,-75.16015403,1,0
316.201,2.006,1,17,05107,BRICEÑO,ANTIOQUIA,NORTE DE ANTIOQUIA,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,3,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.56223474 7.111788462),2006,1,17,2000-2009,7.111788462,-75.56223474,1,0
316.227,1.999,1,1,05093,BETULIA,ANTIOQUIA,SUROESTE ANTIOQUEÑO,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,3,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.95649246 6.185783612),1999,1,1,1990-1999,6.185783612,-75.95649246,1,0
316.267,2.002,12,27,05055,ARGELIA,ANTIOQUIA,ORIENTE ANTIOQUEÑO,COACCIÓN,GUERRILLA,FARC,0,1,0,0,0,0,0,0,0,2,MÚLTIPLE,RECLUTAMIENTO,POINT (-75.09469795 5.708114524),2002,12,27,2000-2009,5.708114524,-75.09469795,1,1
316.375,2.015,4,27,05045,APARTADO,ANTIOQUIA,URABA,COACCIÓN,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,6,COLECTIVO,RECLUTAMIENTO,POINT (-76.58236264 7.86047815),2015,4,27,2010-2019,7.86047815,-76.58236264,1,0
316.489,2.005,12,20,05040,ANORI,ANTIOQUIA,NORDESTE ANTIOQUEÑO,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.10848954 7.193110778),2005,12,20,2000-2009,7.193110778,-75.10848954,1,0
316.623,2.002,11,7,05001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.61103107 6.257590259),2002,11,7,2000-2009,6.257590259,-75.61103107,1,0
316.625,2.002,11,8,05001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.61103107 6.257590259),2002,11,8,2000-2009,6.257590259,-75.61103107,1,0
316.643,2.003,11,12,05001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,34,COLECTIVO,SIN INFORMACIÓN,POINT (-75.61103107 6.257590259),2003,11,12,2000-2009,6.257590259,-75.61103107,1,0
316.681,2.004,4,12,05001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.61103107 6.257590259),2004,4,12,2000-2009,6.257590259,-75.61103107,1,0
